month,work_domain,event_candidate_count,open_go_count,school_homepage_count
,학교구조변수,1,0,1
2025-03,개인정보민원보고,31,3,28
2025-03,급식보건안전,22,12,10
2025-03,미분류,15,4,11
2025-03,방과후늘봄,7,0,7
2025-03,특수복지,1,1,0
2025-03,평가교육과정,2,0,2
2025-03,학교운영위원회,8,4,4
2025-03,행정재정,1,0,1
2025-04,개인정보민원보고,15,1,14
2025-04,급식보건안전,23,11,12
2025-04,미분류,39,2,37
2025-04,방과후늘봄,18,0,18
2025-04,평가교육과정,2,1,1
2025-04,학교운영위원회,6,2,4
2025-04,학교폭력생활지도,3,1,2
2025-04,행정재정,2,0,2
2025-05,개인정보민원보고,7,0,7
2025-05,급식보건안전,21,14,7
2025-05,미분류,4,1,3
2025-05,방과후늘봄,7,0,7
2025-05,행정재정,1,0,1
2025-06,개인정보민원보고,1,0,1
2025-06,급식보건안전,23,14,9
2025-06,미분류,7,0,7
2025-06,방과후늘봄,7,0,7
2025-06,학교운영위원회,3,1,2
2025-06,행정재정,1,0,1
2025-07,개인정보민원보고,6,1,5
2025-07,급식보건안전,16,10,6
2025-07,미분류,7,1,6
2025-07,학교운영위원회,2,1,1
2025-07,행정재정,2,2,0
2025-08,개인정보민원보고,2,0,2
2025-08,급식보건안전,17,10,7
2025-08,미분류,5,0,5
2025-08,방과후늘봄,3,0,3
2025-08,학교운영위원회,5,2,3
2025-08,행정재정,1,1,0
2025-09,개인정보민원보고,3,0,3
2025-09,급식보건안전,17,10,7
2025-09,미분류,6,0,6
2025-09,방과후늘봄,3,1,2
2025-09,평가교육과정,4,0,4
2025-09,학교운영위원회,2,0,2
2025-09,행정재정,1,0,1
2025-10,개인정보민원보고,4,0,4
2025-10,급식보건안전,16,9,7
2025-10,미분류,5,0,5
2025-10,방과후늘봄,2,1,1
2025-10,평가교육과정,2,0,2
2025-10,학교운영위원회,1,0,1
2025-10,행정재정,2,0,2
2025-11,개인정보민원보고,36,0,36
2025-11,급식보건안전,17,10,7
2025-11,미분류,4,0,4
2025-11,방과후늘봄,14,0,14
2025-11,학교운영위원회,2,1,1
2025-11,학교폭력생활지도,2,2,0
2025-12,개인정보민원보고,4,0,4
2025-12,급식보건안전,13,7,6
2025-12,미분류,6,0,6
2025-12,방과후늘봄,1,0,1
2025-12,특수복지,2,2,0
2025-12,평가교육과정,4,2,2
2025-12,학교운영위원회,9,3,6
2025-12,학교폭력생활지도,1,1,0
2025-12,행정재정,1,0,1
2026-01,개인정보민원보고,1,1,0
2026-01,급식보건안전,1,1,0
2026-01,미분류,23,0,23
2026-01,행정재정,1,0,1
2026-02,개인정보민원보고,6,0,6
2026-02,급식보건안전,9,7,2
2026-02,미분류,3,0,3
2026-02,방과후늘봄,7,0,7
2026-02,평가교육과정,127,1,126
2026-02,학교운영위원회,5,2,3
2026-02,행정재정,3,0,3
